loc,hour,severity_index
Hollenbeck,13,44566.2058287796
Hollywood,7,29787.148404993066
Hollywood,14,33035.971594577146
Hollywood,15,31145.19806178074
Hollywood,22,36041.07211538462
Mission,0,26923.12
Mission,1,36398.37967914438
Mission,6,26511.154121863798
Mission,7,27779.30617977528
Mission,8,20912.817518248175
Mission,10,25221.358267716536
Mission,22,35288.2634643377
Mission,23,41843.43078245916
N Hollywood,1,33592.624612202686
N Hollywood,7,19524.205633802816
N Hollywood,13,28720.139068100358
N Hollywood,15,24396.046622833233
Newton,0,52070.697998259355
Newton,2,41222.21212121212
Newton,3,43224.88888888889
Newton,4,36383.94213381555
Newton,10,46585.030303030304
Newton,16,46635.12645082468
Northeast,4,21553.646226415094
Northeast,11,29327.892971246005
Northeast,20,29769.316440049442
Northeast,21,26817.867311679336
Olympic,0,30238.318952234207
Olympic,21,34115.115335868184
Pacific,2,24293.16032295271
Pacific,9,23931.146991622238
Pacific,11,24385.422692533804
Pacific,13,21175.274673008324
Pacific,16,20818.6395526182
Pacific,17,23153.04846225536
Rampart,2,49270.42377260982
Rampart,6,34830.3625498008
Rampart,9,37160.490829694325
Rampart,23,41618.50424055513
Southeast,0,51175.728865194214
Southeast,4,53583.538732394365
Southeast,7,39035.822222222225
Southeast,11,54929.87252747253
Southeast,13,60869.35910878113
Southeast,17,54806.0020746888
Southwest,7,37289.123173277665
Southwest,10,40115.54929577465
Southwest,11,41630.516949152545
Southwest,14,38262.722788203755
Topanga,5,24006.475409836065
Topanga,8,20263.376705141658
Van Nuys,10,24075.519858781994
Van Nuys,17,20676.217256362506
West LA,9,14198.906046511627
West LA,17,15847.357688113414
Wilshire,1,30148.494565217392
Wilshire,13,26564.71505376344
Wilshire,18,23371.439114391145
77th Street,1,60767.29623567921
Central,10,34157.26467065868
Central,17,32616.6212345679
Devonshire,4,20523.328671328672
Devonshire,5,17110.9
Devonshire,13,18564.242524916943
Devonshire,19,24039.80623306233
Devonshire,23,23233.810839532413
Foothill,6,25870.70925110132
Foothill,12,22492.402200489
Foothill,16,37752.69696969697
Foothill,18,25981.455489614244
Foothill,20,30742.878881987577
Foothill,21,36896.24519670631
Harbor,3,34940.77367576244
Harbor,7,29210.517808219178
Harbor,11,35077.60769230769
Harbor,16,42455.205925925926
Harbor,20,38148.246913580246
Hollenbeck,4,33021.52711496746
Hollenbeck,12,25784.055666003977
Hollenbeck,21,48441.07189542484
Hollenbeck,23,46390.311614730876
Hollywood,4,28880.352941176472
Hollywood,16,33677.921520539545
Hollywood,17,25581.18376550169
Hollywood,18,29754.881695114775
Mission,4,31085.394077448746
Mission,16,33113.786172487526
N Hollywood,0,24682.86609240407
N Hollywood,9,24311.402527075814
Newton,7,30553.106435643564
Northeast,6,18486.67419962335
Northeast,7,28206.532934131737
Northeast,12,22399.195974576272
Northeast,17,25541.507334963324
Olympic,1,32828.41617357002
Olympic,3,23797.758333333335
Olympic,4,20980.349823321554
Olympic,5,19980.97746967071
Pacific,12,14156.82882882883
Rampart,1,49011.98802395209
Rampart,5,37875.858536585365
Rampart,14,39036.89612403101
Rampart,18,34669.96660909614
Southeast,2,50422.35828220859
Southeast,23,59056.89546599496
Southwest,12,36078.06753904601
Southwest,19,45436.48971596474
Southwest,22,46723.14893617021
Topanga,7,18997.777777777777
Topanga,12,16089.378151260504
Topanga,18,19190.035279805354
Van Nuys,13,21498.58031088083
West LA,5,12033.554479418886
West LA,6,14227.624190064795
West LA,7,15986.991568296797
West LA,11,18545.481540930978
West LA,23,16414.35972629521
