city, time, location, severity
CHICAGO,13,Englewood,24508.317383404
CHICAGO,13,Near West,3793.769585253456
CHICAGO,14,Calumet,19894.49684741488
CHICAGO,14,Grand Crossing,12926.293785310734
CHICAGO,14,Harrison,20259.446343779677
CHICAGO,14,Shakespeare,3511.7389770723103
CHICAGO,15,Deering,9740.113306982872
CHICAGO,16,Englewood,19555.184892897407
CHICAGO,16,Grand Crossing,14346.026195899773
CHICAGO,17,Jefferson Park,3206.934036939314
CHICAGO,18,Austin,14479.942161339422
CHICAGO,18,Lincoln,1900.0334855403348
CHICAGO,18,Shakespeare,6400.067720090294
CHICAGO,19,Chicago Lawn,15016.658525129169
CHICAGO,19,Englewood,39409.06017505471
CHICAGO,19,Near West,7313.5394540942925
CHICAGO,20,Albany Park,6199.391397849462
CHICAGO,20,Harrison,31921.583398590446
CHICAGO,20,Near West,7214.093959731544
CHICAGO,21,Central,10584.302621722847
CHICAGO,21,Grand Central,18851.213918996007
CHICAGO,21,Harrison,37422.40759610931
CHICAGO,21,Near West,9039.122276029057
CHICAGO,23,Near West,12220.262705238467
