city,location,category,crime_count
CHICAGO,Wentworth,LYNCHING,106
CHICAGO,Wentworth,OTHER,27396
LA,77th Street,THEFT,60830
LA,Devonshire,LYNCHING,124
LA,Devonshire,MAJOR THEFT,12404
LA,Foothill,ASSAULT,12894
LA,Foothill,DRUGS,5
LA,Foothill,OTHER,6216
LA,Harbor,KIDNAPPING,214
LA,Harbor,LYNCHING,197
LA,Harbor,THEFT,47889
LA,Hollenbeck,ASSAULT,15562
LA,Hollenbeck,MAJOR THEFT,13535
LA,Hollywood,SHOOTING,9023
LA,Mission,TERRORISM,27
LA,N Hollywood,ASSAULT,16935
LA,Newton,TERRORISM,36
LA,Northeast,ASSAULT,13899
LA,Northeast,FRAUD,1019
LA,Northeast,OTHER,6684
LA,Rampart,KIDNAPPING,317
LA,Southeast,MAJOR THEFT,21469
LA,Southeast,SHOOTING,16676
LA,Topanga,THEFT,60101
LA,Topanga,TRAFFIC,22
LA,West LA,TRAFFIC,8
LA,West Valley,SEXUAL OFFENCES,1592
NYC,BRONX,SHOOTING,24834
NYC,BROOKLYN,ASSAULT,218548
NYC,BROOKLYN,DRUGS,59122
NYC,BROOKLYN,SHOOTING,26690
NYC,STATEN ISLAND,FRAUD,3986
CHICAGO,Austin,ASSAULT,36447
CHICAGO,Grand Central,LYNCHING,399
CHICAGO,Grand Central,SHOOTING,3156
CHICAGO,Grand Crossing,DRUGS,7513
CHICAGO,Grand Crossing,HOMICIDE,426
CHICAGO,Gresham,MAJOR THEFT,8006
CHICAGO,Harrison,HUMAN TRAFFICKING,7
CHICAGO,Lincoln,FRAUD,4580
CHICAGO,Lincoln,LYNCHING,39
CHICAGO,Lincoln,THEFT,18372
CHICAGO,Morgan Park,KIDNAPPING,140
CHICAGO,Near North,KIDNAPPING,53
CHICAGO,Near North,MAJOR THEFT,4081
CHICAGO,Near West,LYNCHING,172
CHICAGO,Rogers Park,ASSAULT,21126
CHICAGO,South Chicago,DRUGS,8942
CHICAGO,South Chicago,SHOOTING,4379
CHICAGO,Town Hall,ASSAULT,23118
CHICAGO,Town Hall,OTHER,23337
CHICAGO,Wentworth,HUMAN TRAFFICKING,7
LA,77th Street,KIDNAPPING,501
LA,77th Street,LYNCHING,441
LA,Central,SHOOTING,12659
LA,Devonshire,OTHER,6167
LA,Hollenbeck,TRAFFIC,14
LA,Mission,FRAUD,1133
LA,Newton,LYNCHING,372
LA,Pacific,THEFT,75261
LA,Rampart,TERRORISM,50
LA,Rampart,TRAFFIC,16
LA,Southeast,KIDNAPPING,359
LA,Southeast,THEFT,46851
LA,Southwest,MAJOR THEFT,22755
LA,Topanga,FRAUD,1697
LA,Topanga,SEXUAL OFFENCES,1420
LA,West LA,ASSAULT,11034
LA,West LA,FRAUD,1808
LA,West Valley,KIDNAPPING,336
LA,Wilshire,FRAUD,1300
LA,Wilshire,SHOOTING,6721
NYC,BROOKLYN,CRIME AGAINST CHILDREN,244
NYC,STATEN ISLAND,CRIME AGAINST CHILDREN,5
NYC,STATEN ISLAND,HOMICIDE,9
NYC,STATEN ISLAND,THEFT,54937
CHICAGO,Albany Park,DRUGS,2374
CHICAGO,Albany Park,HUMAN TRAFFICKING,2
CHICAGO,Albany Park,SEXUAL OFFENCES,860
CHICAGO,Chicago Lawn,DRUGS,8880
CHICAGO,Chicago Lawn,LYNCHING,419
CHICAGO,Deering,THEFT,38302
